concept,item,survey,survey_full_name,variable,values,question_text,response_categories,nonresponses
preferability,church4,wvs_combo,world values survey time-series 4 (1981-2022),e123,c(4:1),"Do you agree or disagree with the following statement: “Democracy may have its problems, but it is still the best form of government.”",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,"c(-1,-2)"
preferability,church4,arabb1,arab barometer 1,q2324,c(4:1),Democracy may have its problems but is better than any other form of government.,1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(97:99)
preferability,church4,arabb2,arab barometer 2,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems.",1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(8:9)
preferability,church4,arabb3,arab barometer 3,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems.",1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(8:9)
preferability,church4,arabb4,arab barometer 4,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems.",1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
preferability,church4,arabb5,arab barometer 5,q516_4,c(4:1),"Democratic systems may have problems, yet they are better than other systems.",1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
preferability,church4,arabb7,arab barometer 7,q516_4,c(4:1),"Democratic systems may have problems, yet they are better than other systems.",1 Strong agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
preferability,church4,asianb3,asian barometer 3,q128,c(4:1),"Do you agree or disagree with the following statement: “Democracy may have its problems, but it is still the best form of government.”",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(7:9)
preferability,church4,asianb4,asian barometer 4,q129,c(4:1),"Do you agree or disagree with the following statement: “Democracy may have its problems, but it is still the best form of government.”",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(7:9)
preferability,threestate3,afrob1,afrobarometer 1,supdem,c(3:1),Which of these three statements is closest to your own opinion?,"1 Democracy is preferable to any other form of government; 2 To people like me, it doesn't matter what form of government; 3 In certain situations, a non-democratic government can be preferable.","c(4,98)"
preferability,threestate3,afrob2,afrobarometer 2,q38,"c(2,1,3)",Which of these three statements is closest to your own opinion?,"1 For someone like me, it doesn’t matter what kind of government we have; 2 In some circumstances, a non-democratic government can be preferable; 3 Democracy is preferable to any other kind of government.","c(9,98)"
preferability,threestate3,afrob3,afrobarometer 3,q37,"c(2,1,3)",Which of these three statements is closest to your own opinion?,"1 For someone like me, it doesn’t matter what kind of government we have; 2 In some circumstances, a non-democratic government can be preferable; 3 Democracy is preferable to any other kind of government.","c(9,98)"
