concept,item,survey,survey_full_name,variable,values,question_text,response_categories,nonresponses
performance,eco_imp5,asianb1,asian barometer 1,q119,"c(4,3,5,2,1)","If you had to choose between democracy and economic development, which would you say is more important?",1 Economic development is definitely more important; 2 Economic development is somewhat more important; 3 Democracy is somewhat more important; 4 Democracy is definitely more important; 5 They are both equally important,
performance,eco_imp5,asianb2,asian barometer 2,q123,"c(4,3,5,2,1)","If you had to choose between democracy and economic development, which would you say is more important?",1 Economic development is definitely more important; 2 Economic development is somewhat more important; 3 Democracy is somewhat more important; 4 Democracy is definitely more important; 5 They are both equally important,c(7:9)
performance,eco_imp5,asianb3,asian barometer 3,q126,"c(4,3,5,2,1)","If you had to choose between democracy and economic development, which would you say is more important?",1 Economic development is definitely more important; 2 Economic development is somewhat more important; 3 Democracy is somewhat more important; 4 Democracy is definitely more important; 5 They are both equally important,c(7:9)
performance,eco_imp5,asianb4,asian barometer 4,q127,"c(4,3,5,2,1)","If you had to choose between democracy and economic development, which would you say is more important?",1 Economic development is definitely more important; 2 Economic development is somewhat more important; 3 Democracy is somewhat more important; 4 Democracy is definitely more important; 5 They are both equally important,c(7:9)
performance,equ_imp5,asianb3,asian barometer 3,q127,"c(4,3,5,2,1)","If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",1 Reducing economic inequality is definitely more important; 2 Reducing economic inequality is somewhat more important; 3 Protecting political freedom is somewhat more important; 4 Protecting political freedom is definitely more important,c(7:9)
performance,equ_imp5,asianb4,asian barometer 4,q128,"c(4,3,5,2,1)","If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",1 Reducing economic inequality is definitely more important; 2 Reducing economic inequality is somewhat more important; 3 Protecting political freedom is somewhat more important; 4 Protecting political freedom is definitely more important,c(7:9)
performance,goal_imp4,asianb1,asian barometer 1,q145,c(4:1),The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
performance,goal_imp4,asianb2,asian barometer 2,q77,c(4:1),The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
performance,order_imp4,arabb7,arab barometer 7,q533_5,c(4:1),"As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic.",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
performance,order_imp4,arabb62,arab barometer 6.2,q533_5,c(4:1),"As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic.",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
