concept,item,survey,survey_full_name,variable,values,question_text,response_categories,nonresponses
civil liberties,repress11,wvs_combo,world values survey time-series 4 (1981-2022),e229,c(0:10),"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy: Civil rights protect people from state oppression.",0-10: 0 It is against democracy (spontaneous); 1 Not an essential characteristic of democracy; 10 An essential characteristic of democracy,"c(-1,-2)"
civil liberties,ideas4,asianb1,asian barometer 1,q134,c(1:4),The government should decide whether certain ideas should be allowed to be discussed in society.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,ideas4,asianb2,asian barometer 2,q135,c(1:4),The government should decide whether certain ideas should be allowed to be discussed in society.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,ideas4,asianb3,asian barometer 3,q142,c(1:4),The government should decide whether certain ideas should be allowed to be discussed in society.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,ideas4,asianb4,asian barometer 4,q143,c(1:4),The government should decide whether certain ideas should be allowed to be discussed in society.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,harmony4,asianb1,asian barometer 1,q135,c(1:4),Harmony of the community will be disrupted if people organize lots of groups,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
civil liberties,harmony4,asianb2,asian barometer 2,q136,c(1:4),Harmony of the community will be disrupted if people organize lots of groups,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,harmony4,asianb3,asian barometer 3,q143,c(1:4),Harmony of the community will be disrupted if people organize lots of groups,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,harmony4,asianb4,asian barometer 4,q144,c(1:4),Harmony of the community will be disrupted if people organize lots of groups,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
civil liberties,organize5,afrob3,afrobarometer 3,q25,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Government should be able to ban any organization that goes against its policies. B: We should be able to join any organization, whether or not the government approves of it.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
civil liberties,organize5,afrob4,afrobarometer 4,q19,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Government should be able to ban any organization that goes against its policies. B: We should be able to join any organization, whether or not the government approves of it.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
civil liberties,organize5,afrob5,afrobarometer 5,q19,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Government should be able to ban any organization that goes against its policies. B: We should be able to join any organization, whether or not the government approves of it.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
civil liberties,organize5,afrob6,afrobarometer 6,q16,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Government should be able to ban any organization that goes against its policies. B: We should be able to join any organization, whether or not the government approves of it.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
civil liberties,organize5,afrob7,afrobarometer 7,q15,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Government should be able to ban any organization that goes against its policies. B: We should be able to join any organization, whether or not the government approves of it.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,c(8:9)
civil liberties,thinking4,asianb1,asian barometer 1,q139,c(1:4),"If people have too many different ways of thinking, society will be chaotic","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
